Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Std,Label
57621.0,0.0,1.0,0.0,86.0,0.0,86.0,86.0,86.0,0.0,0
443.0,0.0,1.0,0.0,84.0,0.0,84.0,84.0,84.0,0.0,0
62853.0,260892.15278625488,2.0,0.0,134.0,0.0,80.0,54.0,67.0,0.0,0
443.0,242652.17781066895,13.0,0.0,6731.0,0.0,1292.0,73.0,517.7692307692307,0.0,0
55569.0,215393.06640625,16.0,0.0,7785.0,0.0,1292.0,64.0,486.5625,0.0,0
443.0,1355246.0670471191,23.0,0.0,6146.0,0.0,1292.0,72.0,267.2173913043478,0.0,0
55419.0,1265395.8797454834,18.0,0.0,5333.0,0.0,1292.0,63.0,296.27777777777777,0.0,0
443.0,1392409.086227417,24.0,0.0,12663.0,0.0,1292.0,72.0,527.625,0.0,0
51679.0,1327516.0789489746,24.0,0.0,10988.0,0.0,1292.0,64.0,457.8333333333333,0.0,0
443.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
443.0,1296435.1177215576,6.0,0.0,3179.0,0.0,2686.0,54.0,529.8333333333334,0.0,0
443.0,429877.99644470215,5.0,0.0,386.0,0.0,90.0,71.0,77.2,0.0,0
59843.0,1250170.9461212158,3.0,0.0,308.0,0.0,153.0,66.0,102.66666666666667,0.0,0
56195.0,139121.05560302734,2.0,0.0,134.0,0.0,69.0,65.0,67.0,0.0,0
443.0,0.0,1.0,0.0,1292.0,0.0,1292.0,1292.0,1292.0,0.0,1
58764.0,0.0,1.0,0.0,1292.0,0.0,1292.0,1292.0,1292.0,0.0,1
27019.0,0.0,1.0,0.0,113.0,0.0,113.0,113.0,113.0,0.0,1
61290.0,318969.0113067627,2.0,0.0,144.0,0.0,78.0,66.0,72.0,0.0,0
443.0,296379.80461120605,2.0,0.0,164.0,0.0,82.0,82.0,82.0,0.0,0
443.0,636113.8820648193,4.0,0.0,217.0,0.0,55.0,54.0,54.25,0.0,0
61291.0,635611.0572814941,3.0,0.0,225.0,0.0,117.0,54.0,75.0,0.0,0
59260.0,10512348.890304565,2.0,0.0,306.0,0.0,252.0,54.0,153.0,0.0,0
27019.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
5228.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
8883.0,254643.91708374023,2.0,0.0,139.0,0.0,85.0,54.0,69.5,0.0,0
63661.0,0.0,1.0,0.0,85.0,0.0,85.0,85.0,85.0,0.0,0
59844.0,169597.86415100098,4.0,0.0,279.0,0.0,93.0,54.0,69.75,0.0,0
443.0,382042.88482666016,4.0,0.0,376.0,0.0,149.0,74.0,94.0,0.0,0
55569.0,347605.94367980957,4.0,0.0,360.0,0.0,157.0,64.0,90.0,0.0,0
1900.0,612354.9938201904,20.0,0.0,10042.0,0.0,540.0,460.0,502.1,0.0,1
61939.0,802916.0499572754,5.0,0.0,408.0,0.0,153.0,54.0,81.6,0.0,0
443.0,521747.8275299072,3.0,0.0,1053.0,0.0,910.0,54.0,351.0,0.0,0
50838.0,1633675.0984191895,10.0,0.0,5721.0,0.0,2894.0,54.0,572.1,0.0,0
443.0,1454200.029373169,11.0,0.0,8210.0,0.0,5272.0,54.0,746.3636363636364,0.0,0
57621.0,0.0,1.0,0.0,86.0,0.0,86.0,86.0,86.0,0.0,0
61290.0,17060.041427612305,2.0,0.0,132.0,0.0,78.0,54.0,66.0,0.0,0
443.0,0.0,1.0,0.0,82.0,0.0,82.0,82.0,82.0,0.0,0
443.0,0.0,1.0,0.0,71.0,0.0,71.0,71.0,71.0,0.0,0
57754.0,4424061.059951782,2.0,0.0,193.0,0.0,118.0,75.0,96.5,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
60626.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
8883.0,723021.9841003418,3.0,0.0,224.0,0.0,85.0,54.0,74.66666666666667,0.0,0
63661.0,83653.92684936523,2.0,0.0,151.0,0.0,85.0,66.0,75.5,0.0,0
1900.0,0.0,1.0,0.0,167.0,0.0,167.0,167.0,167.0,0.0,0
5353.0,781682.014465332,6.0,0.0,1273.0,0.0,377.0,85.0,212.16666666666666,0.0,0
27019.0,0.0,1.0,0.0,113.0,0.0,113.0,113.0,113.0,0.0,1
59260.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
63549.0,16929.86488342285,2.0,0.0,147.0,0.0,93.0,54.0,73.5,0.0,0
443.0,0.0,1.0,0.0,83.0,0.0,83.0,83.0,83.0,0.0,0
61290.0,22511.959075927734,2.0,0.0,132.0,0.0,78.0,54.0,66.0,0.0,0
443.0,0.0,1.0,0.0,82.0,0.0,82.0,82.0,82.0,0.0,0
5228.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
57621.0,0.0,1.0,0.0,86.0,0.0,86.0,86.0,86.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
63832.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
63278.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
62889.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
61290.0,14075.994491577148,2.0,0.0,132.0,0.0,78.0,54.0,66.0,0.0,0
443.0,0.0,1.0,0.0,82.0,0.0,82.0,82.0,82.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
61939.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
27019.0,0.0,1.0,0.0,113.0,0.0,113.0,113.0,113.0,0.0,1
59260.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
443.0,6011708.02116394,3.0,0.0,165.0,0.0,55.0,55.0,55.0,0.0,0
49413.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
60626.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
63278.0,1346801.996231079,2.0,0.0,145.0,0.0,79.0,66.0,72.5,0.0,0
443.0,1217314.0048980713,4.0,0.0,332.0,0.0,83.0,83.0,83.0,0.0,0
57621.0,0.0,1.0,0.0,86.0,0.0,86.0,86.0,86.0,0.0,0
61290.0,46643.01872253418,2.0,0.0,132.0,0.0,78.0,54.0,66.0,0.0,0
443.0,0.0,1.0,0.0,82.0,0.0,82.0,82.0,82.0,0.0,0
5228.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
64833.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
